trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
67,27,0.8,0.9,1,12,6,0,3,3,0,375.0,266.3148226446079
68,27,0.8,0.9,1,12,4,0,1,2,1,200.0,234.79744923370447
69,27,0.8,0.9,1,12,5,1,2,0,2,125.0,231.08224974421913
70,27,0.8,0.9,1,12,4,0,0,3,1,225.0,231.78048663533644
71,27,0.8,0.9,1,12,5,1,2,1,1,200.0,240.74907636182937
72,27,0.8,0.9,1,12,6,1,2,2,1,275.0,254.81216695973404
73,27,0.8,0.9,1,12,5,1,1,1,2,150.0,241.032405321273
74,27,0.8,0.9,1,12,3,0,1,0,2,50.0,224.07591140691775
75,27,0.8,0.9,1,12,3,0,0,1,2,75.0,212.27553569578265
76,27,0.8,0.9,1,12,5,0,1,4,0,350.0,243.47996496364055
77,27,0.8,0.9,1,12,4,0,3,0,1,150.0,222.84766223846873
78,27,0.8,0.9,1,12,4,1,1,0,2,75.0,221.61600836281838
79,27,0.8,0.9,1,12,7,3,2,1,1,250.0,257.47988364349067
80,27,0.8,0.9,1,12,4,0,1,2,1,200.0,232.46736461027223
81,27,0.8,0.9,1,12,6,3,1,1,1,200.0,256.75291439358966
82,27,0.8,0.9,1,12,5,2,1,1,1,175.0,226.31489500948695
83,27,0.8,0.9,1,12,6,3,1,1,1,200.0,239.660589196527
84,27,0.8,0.9,1,12,4,0,2,1,1,175.0,229.02879784996423
85,27,0.8,0.9,1,12,5,2,0,1,2,125.0,243.0648293099768
86,27,0.8,0.9,1,12,5,0,3,0,2,150.0,247.14738302747497
87,27,0.8,0.9,1,12,7,3,2,1,1,250.0,261.269582791583
88,27,0.8,0.9,1,12,4,0,1,2,1,200.0,240.65825680587312
89,27,0.8,0.9,1,12,6,0,4,1,1,275.0,261.60575204525264
90,27,0.8,0.9,1,12,4,0,1,2,1,200.0,223.19208597664982
91,27,0.8,0.9,1,12,4,1,0,1,2,100.0,230.3339189502505
92,27,0.8,0.9,1,12,6,1,2,2,1,275.0,258.64509790394334
93,27,0.8,0.9,1,12,3,0,1,1,1,125.0,219.68207931291676
94,27,0.8,0.9,1,12,4,0,1,2,1,200.0,244.64271322715243
95,27,0.8,0.9,1,12,3,0,0,1,2,75.0,216.00886462365045
96,27,0.8,0.9,1,12,4,1,0,1,2,100.0,230.53461289376645
97,27,0.8,0.9,1,12,6,0,3,2,1,300.0,274.1651128465618
