trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
13,33,8,24.4915090444124,27.212787827124888,50.0,"['5296', '522556', '543373', '222350', '191154', '449181', '450692', '516138']"
13,34,12,30.526105544172875,33.91789504908097,50.0,"['410593', '153002', '483644', '516263', '513516', '397555', '907', '427800', '356235', '475046', '196926', '436627']"
13,35,11,26.129907631576767,29.03323070175196,50.0,"['337614', '346110', '56291', '498546', '411518', '100763', '219611', '547294', '176607', '343064', '264018']"
13,36,11,29.212486888907133,32.45831876545237,50.0,"['289531', '369049', '256260', '152266', '422424', '269943', '27287', '114941', '142225', '216764', '312']"
13,37,8,21.6466898613224,24.05187762369156,25.0,"['216421', '163371', '459665', '69509', '21595', '473498', '422231', '524907']"
13,38,9,30.823950146905297,34.24883349656144,50.0,"['516545', '242999', '136477', '533820', '124966', '43092', '541265', '163213', '241959']"
13,39,5,20.969195638485804,23.299106264984225,25.0,"['249827', '172572', '242516', '483016', '434738']"
13,40,5,13.89777145823986,15.441968286933175,25.0,"['327131', '482358', '452422', '372499', '25615']"
13,41,1,7.33731683290423,8.152574258782478,25.0,['404817']
13,42,10,33.65387621143289,37.39319579048099,50.0,"['233698', '31427', '263375', '346726', '447938', '64839', '250934', '131393', '233753', '364878']"
13,43,6,35.69763878829762,39.66404309810847,50.0,"['4916', '142620', '352165', '526989', '59425', '404444']"
13,44,5,21.896043399355896,24.32893711039544,25.0,"['277767', '275680', '151790', '494604', '75859']"
13,45,6,22.337748795432734,24.819720883814156,25.0,"['451476', '77240', '488440', '522245', '30686', '114077']"
13,46,6,16.086010464400797,17.87334496044533,25.0,"['172155', '502985', '202555', '509992', '153713', '404858']"
13,47,12,26.097837355638298,28.99759706182033,50.0,"['121143', '149516', '42335', '26402', '180871', '302621', '485700', '225070', '226419', '279', '325008', '524546']"
13,48,10,31.04802815577876,34.4978090619764,50.0,"['505847', '510593', '326187', '125925', '97799', '327612', '491749', '284645', '119634', '468180']"
13,49,10,33.51007507168992,37.23341674632213,50.0,"['515502', '383693', '55949', '314471', '425185', '417306', '494663', '530378', '530550', '349166']"
13,50,2,12.486245547407975,13.87360616378664,25.0,"['254623', '432318']"
13,51,9,27.75903181130328,30.84336867922587,50.0,"['272937', '249134', '241027', '446024', '174570', '517144', '193407', '225298', '461107']"
13,52,2,9.356209099128971,10.39578788792108,25.0,"['201834', '383865']"
13,53,13,42.42579009209976,47.139766768999735,50.0,"['452253', '162605', '412017', '379782', '440204', '520487', '184561', '499731', '84873', '89529', '247213', '357027', '75607']"
13,54,5,16.904782277834414,18.783091419816014,25.0,"['40995', '238996', '524510', '341963', '201687']"
13,55,13,33.8365999603549,37.59622217817211,50.0,"['267170', '383204', '292090', '140441', '40436', '456950', '543603', '111557', '213568', '267376', '500428', '451771', '513045']"
13,56,11,29.455514218929,32.728349132143336,50.0,"['257435', '333827', '15089', '230501', '487621', '212890', '407592', '100023', '179644', '277908', '157218']"
13,57,12,36.82019474569668,40.91132749521853,50.0,"['151863', '316619', '535774', '300418', '332159', '451978', '381381', '338070', '53693', '97512', '69737', '538937']"
13,58,13,38.06269145883192,42.29187939870213,50.0,"['91480', '111132', '537920', '486178', '507808', '504397', '330258', '74247', '499943', '173606', '57486', '190006', '401975']"
13,59,3,9.712621128606362,10.791801254007067,25.0,"['155532', '169460', '33973']"
13,60,9,30.08783061825851,33.430922909176125,50.0,"['129766', '114719', '500895', '146446', '183875', '196305', '130380', '436282', '120348']"
13,61,1,8.527202215297203,9.474669128108005,25.0,['284293']
13,62,7,28.67011618542484,31.85568465047205,50.0,"['429888', '224398', '292117', '141350', '519092', '8083', '304116']"
13,63,3,15.769686631725854,17.52187403525095,25.0,"['162004', '424439', '349207']"
